pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,9/27/2023,94.8,-2.06,5.79,"Cole, Gerrit",595281,543037,,foul,,,,,1,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,0,1,2023,-0.49,1.52,-0.38,3.49,,,,0,9,Bot,,,,,666163,,,5.505419945,-137.8917379,-3.674733606,-7.531239697,34.98698289,-12.31400634,3.45,1.64,237,76.3,30,94.9,2279,6.7,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,53.83,,,,,,,,66,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,211,0,-0.049,,
SL,9/27/2023,87,-2.27,5.95,"Cole, Gerrit",595281,543037,,called_strike,,,,,7,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,NYY,S,,,0,0,2023,0.41,0.3,-0.77,2.15,,,,0,9,Bot,,,,,666163,,,2.758121757,-126.6637562,-3.578192569,3.901987249,25.23738219,-28.38659945,3.28,1.67,,,,87.2,2566,6.3,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.19,,,,,,,,66,1,Slider,0,6,0,6,6,0,0,6,Infield shade,Standard,116,0,-0.038,,
FF,9/27/2023,95.9,-2.02,5.82,"Cole, Gerrit",593160,543037,field_out,hit_into_play,,,,,11,Whit Merrifield pops out to first baseman DJ LeMahieu in foul territory.,R,R,R,TOR,NYY,X,3,popup,0,1,2023,-0.77,1.5,-0.38,3.47,,,,2,8,Bot,154.57,181.95,,,666163,,,6.109603868,-139.376717,-3.916966374,-11.53291729,35.55343499,-12.01162237,3.29,1.55,87,81.5,74,95.6,2372,6.5,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.01,0.003,0.003,0,1,0,0,3,60,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,211,-0.001,-0.089,,
SL,9/27/2023,89.7,-2.1,5.96,"Cole, Gerrit",593160,543037,,swinging_strike,,,,,9,Whit Merrifield pops out to first baseman DJ LeMahieu in foul territory.,R,R,R,TOR,NYY,S,,,0,0,2023,0.43,0.47,0.55,1.59,,,,2,8,Bot,,,,,666163,,,5.633988464,-130.4538746,-5.764612322,3.631299152,28.4749059,-25.80304345,3.29,1.55,,,,89.3,2483,6.2,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.33,,,,,,,,60,1,Slider,0,6,0,6,6,0,0,6,Standard,Standard,176,0,-0.017,,
KC,9/27/2023,82.3,-1.92,5.96,"Cole, Gerrit",656305,543037,field_out,hit_into_play,,,,,9,"Matt Chapman grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,X,6,ground_ball,1,2,2023,1.1,-1.22,0.65,1.63,,,,1,8,Bot,117.36,166.46,,,666163,,,3.694197287,-119.6443399,-0.775688697,9.486561471,28.20725584,-43.77914487,3.51,1.66,25,95.8,-2,81.2,2846,6.1,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.41,0.349,0.333,0,1,0,0,2,59,4,Knuckle Curve,0,6,0,6,6,0,0,6,Strategic,Standard,41,-0.002,-0.119,,
FF,9/27/2023,95.9,-1.83,5.99,"Cole, Gerrit",656305,543037,,ball,,,,,12,"Matt Chapman grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,B,,,0,2,2023,-0.66,1.47,0.7,3.48,,,,1,8,Bot,,,,,666163,,,8.125576259,-139.2800528,-4.24293835,-10.5990052,36.61280516,-12.34486055,3.25,1.58,,,,94.8,2333,6.2,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.35,,,,,,,,59,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,214,0,0.012,,
CH,9/27/2023,87.7,-2.08,5.71,"Cole, Gerrit",656305,543037,,foul,,,,,13,"Matt Chapman grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,S,,,0,1,2023,-1.34,0.63,-0.88,1.92,,,,1,8,Bot,,,,,666163,,,5.69650957,-127.6092326,-4.346563006,-15.8342556,26.7748735,-24.63740422,3.51,1.66,5,93,-20,87.9,1820,6.5,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.03,,,,,,,,59,2,Changeup,0,6,0,6,6,0,0,6,Strategic,Standard,235,0,-0.036,,
FF,9/27/2023,94.3,-1.86,5.93,"Cole, Gerrit",656305,543037,,foul,,,,,5,"Matt Chapman grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",R,R,R,TOR,NYY,S,,,0,0,2023,-0.59,1.44,-0.2,2.42,,,,1,8,Bot,,,,,666163,,,5.624620671,-137.0428999,-6.600658431,-8.755639027,31.65329393,-12.741367,3.51,1.66,141,81.2,73,93.9,2283,6.2,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.26,,,,,,,,59,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,206,0,-0.026,,
FF,9/27/2023,96.5,-1.98,5.89,"Cole, Gerrit",672386,543037,field_out,hit_into_play,,,,,1,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,X,8,line_drive,3,2,2023,-0.49,1.44,-0.3,2.78,,,,0,8,Bot,146.54,58.59,,,666163,,,5.610411172,-140.2717901,-5.94296063,-7.832588836,33.82127444,-12.09030773,3.05,1.42,351,96.4,22,96.4,2258,6.4,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,54.08,0.231,0.276,0,1,0,0,3,58,7,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,209,-0.004,-0.317,,
FF,9/27/2023,95.5,-1.81,5.83,"Cole, Gerrit",672386,543037,,foul,,,,,4,Alejandro Kirk lines out to center fielder Estevan Florial.,R,R,R,TOR,NYY,S,,,3,2,2023,-0.71,1.7,-0.29,2.02,,,,0,8,Bot,,,,,666163,,,5.631249937,-138.6491284,-8.144955154,-10.5747937,36.84158245,-8.654154835,3.05,1.42,191,71.5,32,95,2412,6.6,716413,543037,666163,518934,650402,672724,683011,665828,664314,592450,53.93,,,,,,,,58,6,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,206,0,0,,
